"Level
(المستوى)","Chinese 
","Pinyin
","Arabic Translation
","Chinese Example
","Arabic Example
"
HSK 1,我,wǒ,أنا,我是学生。,أنا طالب.
HSK 1,你,nǐ,أنت / أنتِ,你叫什么名字？,ما اسمك؟
HSK 1,他,tā,هو,他是我的同学。,هو زميلي في الدراسة.
HSK 1,她,tā,هي,她是我的老师。,هي معلمتي.
HSK 1,我们,wǒmen,نحن,我们去学校吧。,فلنذهب إلى المدرسة.
HSK 1,这,zhè,هذا / هذه,这是什么？,ما هذا؟
HSK 1,那,nà,ذلك / تلك,那是他的书。,ذلك كتابه.
HSK 1,哪,nǎ,أين / أي,你是哪国人？,من أي بلد أنت؟
HSK 1,谁,shéi,من,谁是你的老师？,من هو معلمك؟
HSK 1,什么,shénme,ماذا / أي شيء,你在做什么？,ماذا تفعل؟
HSK 1,多少,duōshao,كم (للهياكل الكبيرة أو غير المحددة),这个多少钱？,بكم هذا؟
HSK 1,几,jǐ,كم (للمقادير الصغيرة أقل من 10),你家 mouth 几口人？,كم فرداً في عائلتك؟
HSK 1,怎么,zěnme,كيف,你怎么去学校？,كيف تذهب إلى المدرسة؟
HSK 1,怎么样,zěnmeyàng,كيف حال / ما رأيك في,今天天气怎么样？,كيف حال الطقس اليوم؟
HSK 1,一,yī,واحد,我买一个苹果。,أشتري تفاحة واحدة.
HSK 1,二,èr,اثنين,现在是二点。,الساعة الآن الثانية.
HSK 1,三,sān,ثلاثة,我有三个姐姐。,لدي ثلاث أخوات أكبر مني.
HSK 1,四,sì,أربعة,今年我十四岁。,عمري أربعة عشر عاماً هذا العام.
HSK 1,五,wǔ,خمسة,星期五我去商店。,يوم الجمعة أذهب إلى المتجر.
HSK 1,六,liù,ستة,他六点起床。,هو يستيقظ في الساعة السادسة.
HSK 1,七,qī,سبعة,一星期有七天。,الأسبوع فيه سبعة أيام.
HSK 1,八,bā,ثمانية,他哥哥八岁了。,أخوه الأكبر عمره ثماني سنوات.
HSK 1,九,jiǔ,تسعة,商店九点开门。,المتجر يفتح في الساعة التاسعة.
HSK 1,十,shí,عشرة,这只猫十个月了。,هذه القطة عمرها عشرة أشهر.
HSK 1,零,líng,صفر,今年是二零二六年。,هذه السنة هي 2026.
HSK 1,个,gè,أداة تصنيف عامة,我有一个哥哥。,لدي أخ أكبر واحد.
HSK 1,岁,suì,سنة / عام (للعمر),我今年二十岁。,عمري عشرون عاماً هذا العام.
HSK 1,本,běn,أداة تصنيف للكتب والمجلدات,桌子上有一本书。,توجد نسخة كتاب واحدة على الطاولة.
HSK 1,些,xiē,بعض / قليل,这些苹果很好吃。,هذه التفاحات لذيذة جداً.
HSK 1,块,kuài,قطعة / وحدة عملة (يوان),这块手表很贵。,هذه الساعة ثمينة جداً.
HSK 1,不,bù,لا / أداة نفي,我不是老师。,أنا لست معلماً.
HSK 1,没,méi,ليس لديه / لم يفعل,我 empty 没去过中国。,أنا لم أذهب إلى الصين من قبل.
HSK 1,很,hěn,جداً,今天天气很好。,الطقس جميل جداً اليوم.
HSK 1,太,tài,جداً / مفرط للغاية,这个太贵了。,هذا غالٍ جداً.
HSK 1,都,dōu,كل / جميعاً,我们都是留学生。,كلنا طلاب مغتربون.
HSK 1,和,hé,و / مع,我和爸爸去商店。,أنا وأبي نذهب إلى المتجر.
HSK 1,在,zài,في / متواجد / يفعل الآن,妈妈在厨房做饭。,أمي تطبخ في المطبخ.
HSK 1,喂,wèi,مرحباً (بالهاتف),喂，请问张先生在吗？,مرحباً، هل السيد تشانغ موجود؟
HSK 1,家,jiā,منزل / عائلة,我爱我的家。,أنا أحب عائلتي.
HSK 1,学校,xuéxiào,مدرسة,我们学校很大。,مدرستنا كبيرة جداً.
HSK 1,商店,shāngdiàn,متجر / دكان,我去商店买东西。,أذهب إلى المتجر لأشتري أغراضاً.
HSK 1,医院,yīyuàn,مستشفى,他在医院工作。,هو يعمل في المستشفى.
HSK 1,火车站,huǒchēzhàn,محطة القطار,火车站离这里很远。,محطة القطار بعيدة جداً من هنا.
HSK 1,中国,Zhōngguó,الصين,我想去中国学汉语。,أريد الذهاب إلى الصين لتعلم اللغة الصينية.
HSK 1,北京,Běijīng,بكين,北京是中国的首都。,بكين هي عاصمة الصين.
HSK 1,上,shàng,فوق / أعلى / يذهب إلى,桌子上有一支笔。,يوجد قلم على الطاولة.
HSK 1,下,xià,تحت / أسفل / ينزل,椅子下面有一只猫。,توجد قطة تحت الكرسي.
HSK 1,前面,qiánmiàn,أمام / في المقدمة,学校前面有一个公园。,يوجد منتزه أمام المدرسة.
HSK 1,后面,hòumiàn,خلف / في الخلف,商店后面是我的家。,خلف المتجر يوجد منزلي.
HSK 1,里面,lǐmiàn,داخل / في الداخل,房间里面没有人。,لا يوجد أحد داخل الغرفة.
HSK 1,今天,jīntiān,اليوم,今天星期四。,اليوم هو الخميس.
HSK 1,明天,míngtiān,غداً,明天我们会去北京。,غداً سنذهب إلى بكين.
HSK 1,昨天,zuótiān,أمس,昨天下午下雨了。,هطل المطر بعد ظهر أمس.
HSK 1,上午,shàngwǔ,الصباح / قبل الظهر,今天上午我有课。,لدي درس صباح اليوم.
HSK 1,中午,zhōngwǔ,الظهر,我们中午十二点吃饭。,نحن نأكل في الساعة الثانية عشرة ظهراً.
HSK 1,下午,xiàwǔ,بعد الظهر,下午我们去踢足球。,بعد الظهر سنذهب للعب كرة القدم.
HSK 1,年,nián,سنة,我在中国学了一年。,درست في الصين لمدة سنة واحدة.
HSK 1,月,yuè,شهر / قمر,今天是八月十五日。,اليوم هو الخامس عشر من أغسطس.
HSK 1,日,rì,يوم / شمس,我的生日是十月一日。,عيد ميلادي هو الأول من أكتوبر.
HSK 1,星期,xīngqī,أسبوع,一个星期有七天。,الأسبوع يحتوي على سبعة أيام.
HSK 1,点,diǎn,الساعة (تحديد الوقت) / نقطة,现在是下午三点。,الساعة الآن الثالثة بعد الظهر.
HSK 1,分钟,fēnzhōng,دقيقة,请等我十分钟。,من فضلك انتظرني عشر دقائق.
HSK 1,现在,xiànzài,الآن,现在几点了？,كم الساعة الآن؟
